rmse,mae,r2,val_loss,"param_
    'filters_conv1': [16, 32, 48, 64, 80, 96, 112, 128],
    'kernel_size_conv1': [2, 3, 4, 5, 6, 8],
    'activation_conv1': ['sigmoid', 'tanh', 'relu'],
    'filters_conv2': [16, 32, 48, 64, 80, 96, 128, 256, 384, 512],
    'kernel_size_conv2': [2, 3, 4, 5, 6, 8, 10],
    'activation_conv2': ['sigmoid', 'tanh', 'relu'],
    'dense_neurons': [20, 40, 60, 80, 100, 200, 300, 400, 500],
    'learning_rate': [0.001],
    'batch_size': [32],
    'epochs': [3, 4, 5, 6, 9, 15]
filters_conv1",param_activation_conv1,param_activation_conv2,param_batch_size,param_dense_neurons,param_epochs,param_filters_conv2,param_kernel_size_conv1,param_kernel_size_conv2,param_learning_rate
16.777387862570592,12.831979542374611,0.836999421675423,260.08270263671875,16,sigmoid,sigmoid,32,50,4,128,3,5,0.001
17.367455245607044,13.16687650680542,0.8253322070710124,283.0823974609375,16,sigmoid,sigmoid,32,50,4,128,3,10,0.001
17.024099013768886,12.86912912890315,0.8321703345576257,262.22808837890625,16,sigmoid,sigmoid,32,50,4,128,6,2,0.001
17.25440473414178,13.073432939052582,0.8275987470451884,279.27899169921875,16,sigmoid,sigmoid,32,50,4,128,6,5,0.001
17.29088557631599,12.884282695949077,0.826868963346594,278.215576171875,16,sigmoid,sigmoid,32,50,4,128,6,10,0.001
15.889650776079774,12.336748690605164,0.853792665186895,236.6644744873047,16,sigmoid,sigmoid,32,50,4,384,2,2,0.001
17.315720183681115,13.112868992239237,0.8263712758163433,266.60662841796875,16,sigmoid,sigmoid,32,50,4,384,2,5,0.001
19.563581500121106,14.315590496063232,0.7783655922184971,307.1792907714844,16,sigmoid,sigmoid,32,50,4,384,2,10,0.001
16.901576881330723,12.827697579860688,0.8345773756886257,264.2425231933594,16,sigmoid,sigmoid,32,50,4,384,3,2,0.001
17.24816454847653,13.376509010791779,0.8277234249237333,273.0245056152344,16,sigmoid,sigmoid,32,50,4,384,3,5,0.001
17.502768290134878,13.210375345945359,0.8225998663604067,303.3226623535156,16,sigmoid,sigmoid,32,50,4,384,3,10,0.001
16.916779952497635,12.948051886558533,0.8342796445306433,271.3973388671875,16,sigmoid,sigmoid,32,50,4,384,6,2,0.001
